Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;25,7;2;0;4000000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;26;4;0;3883000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;29,5;8;0;4156000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30;10;0;4286000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30,6;10;0;4372000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,4;3;0;5250000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,6;6;0;5500000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Фонтанки реки наб.;101;;;Студия;20;1;3;3600000;Сенная площадь;1798;1958;2004, 2004, 2005, 2007, 2007, 2008, 2008, 2009, 2009;3057,1;2332,5;399,5;0;5;True;True;True;True;3 комн., 4 комн., 5 комн., 6 комн.;6, 6, 2, 1;14.12.2009;Благоустройство придомовой территории, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа;0;679 м;8 мин;699 м;3 мин;https://www.emls.ru/fullinfo/1/1462301.html
Адмиралтейский;Загородный пр.;45;;;Студия;26;2;6;3800000;Пушкинская;1906;;1998, 2003, 2005, 2006, 2006, 2007, 2007, 2007, 2007, 2008, 2008, 2008, 2009, 2009, 2009, 2012, 2012;10788,2;7474,2;2325,9;0;9;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.;7, 9, 3, 3, 1, 1;12.04.2009;АВКР, Благоустройство придомовой территории, Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов (с заменой крупных узлов), Расходы на изготовление проектно-сметной документации, Ремонт и восстановление озеленения, Ремонт или восстановление ОДС, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Ремонт фасадов без утепления, Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа;3;525 м;6 мин;924 м;3 мин;https://www.emls.ru/fullinfo/1/1468413.html
Адмиралтейский;Гражданская ул.;7;;;Студия;17,1;2;5;2479000;Садовая;1850;1966;1997, 2013, 2014;4846,7;3618,9;527,4;0;7;True;False;True;True;1 комн., 2 комн., 3 комн., 4 комн.;1, 13, 17, 7;12.04.2009;Расходы на изготовление проектно-сметной документации, Ремонт или замена системы отопления, Ремонт фасадов без утепления;0;397 м;4 мин;1400 м;12 мин;https://www.emls.ru/fullinfo/1/1467648.html
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия;27;5;0;4350000;Фрунзенская;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;2500 м;30 мин;3500 м;9 мин;https://www.emls.ru/fullinfo/1/1469378.html
Адмиралтейский;Рижский пр.;50;;;Студия;17;2;5;1745000;Нарвская;1902;;;2165;1469,72;485,28;0;6;True;True;True;True;1 комн., 3 комн., 4 комн. ;1, 3, 2 ;21.10.2013;;1;3300 м;39 мин;3600 м;11 мин;https://www.emls.ru/fullinfo/1/1470389.html
Адмиралтейский;Рижский пр.;50;;;Студия;18;2;5;2045000;Нарвская;1902;;;2165;1469,72;485,28;0;6;True;True;True;True;1 комн., 3 комн., 4 комн. ;1, 3, 2 ;21.10.2013;;1;3300 м;39 мин;3600 м;11 мин;https://www.emls.ru/fullinfo/1/1471164.html
Адмиралтейский;Верейская ул.;42;;;Студия;14,15;2;0;2080000;Технологический институт;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;1100 м;12 мин;1400 м;4 мин;https://www.emls.ru/fullinfo/1/706568021.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;40,8;2;0;5280000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
